Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2010/12/8,,3.660396,,2.498765,,2.916965,6.148282,,1.974126,,,,8.956055,2.284738,3.968803,4.37561,2.316045,,,4.408966,,5.70225,,3.519275,2.376283,4.227002,
2010/12/9,,3.626628,,2.446021,,2.83846,6.039529,,1.940728,,,,8.79373,2.271221,3.879894,4.304436,2.316045,,,4.398041,,5.562609,,3.51328,2.376283,4.202849,
2010/12/10,,3.646885,,2.4658,,2.870357,6.135642,,1.966265,,,,8.895165,2.289247,3.947465,4.331548,2.316045,,,4.381652,,5.641739,,3.495294,2.353099,4.214925,
2010/12/13,,3.700917,,2.525137,,2.912063,6.246922,,2.003588,,,,9.037219,2.320792,4.022148,4.406117,2.344221,,,4.408966,,5.762769,,3.519275,2.341508,4.263234,
2010/12/14,,3.694165,,2.505358,,2.909609,6.206456,,1.993767,,,,8.983086,2.307274,3.993695,4.389169,2.378031,,,4.387115,,5.720877,,3.549253,2.358895,4.287389,
2010/12/15,,3.694165,,2.544916,,2.907155,6.234275,,2.007519,,,,8.96957,2.307274,4.032813,4.385779,2.31041,,,4.316092,,5.767424,,3.483304,2.324121,4.190771,
2010/12/16,,3.667148,,2.525137,,2.875265,6.188748,,1.974126,,,,8.901922,2.293751,3.965247,4.334939,2.287869,,,4.266921,,5.70225,,3.447332,2.364691,4.160578,
2010/12/17,,3.653644,,2.518544,,2.855632,6.130583,,1.9643,,,,8.88165,2.289247,3.943911,4.311216,2.287869,,2.73887,4.206822,,5.669667,,3.447332,2.411057,4.208887,
2010/12/20,,3.579355,,2.4658,,2.809024,6.001597,,1.930907,,,,8.773388,2.266717,3.876339,4.212924,2.287869,,2.686701,4.195897,,5.543991,,3.42335,2.341508,4.178694,
2010/12/21,,3.646885,,2.55151,,2.880167,6.249448,,1.987872,,,,8.996672,2.307274,3.99014,4.334939,2.32168,,2.676267,4.288772,,5.706905,,3.459322,2.347304,4.214925,
2010/12/22,,3.565844,,2.525137,,2.836006,6.115409,,1.987872,,,,8.841033,2.280234,3.919012,4.250206,2.304775,,2.723219,4.310628,,5.581228,,3.429346,2.335712,4.172655,
2010/12/23,,3.586107,,2.564696,,2.877712,6.221627,,2.005553,,,,8.915508,2.293751,3.997249,4.304436,2.276599,,2.697135,4.266921,,5.776733,,3.417354,2.237183,4.142463,
2010/12/24,,3.579355,,2.676777,,2.914517,6.337966,,2.035016,,,,8.949297,2.298261,4.03993,4.317995,2.254240518,,2.67365925,4.201890858,,5.888447,,3.357886449,2.231496358,4.034648121,
2010/12/28,,3.511817,,2.577882,,2.833558,6.120462,,1.962339,,,,8.678707,2.275724,3.908347,4.195976,2.254058,,2.665834,4.20136,,5.767424,,3.357401,2.231387,4.033768,
2010/12/29,,3.505065,,2.61744,,2.813932,6.110349,,1.952514,,,,8.638161,2.262207,3.922568,4.199365,2.293504,,2.681484,4.272383,,5.8419,,3.405364,2.219795,4.130386,
2010/12/30,,3.511817,,2.577882,,2.796753,6.074943,,1.940728,,,,8.577271,2.257704,3.89412,4.172253,2.293504,,2.67105,4.283309,,5.725532,,3.447332,2.237183,4.160578,
2010/12/31,,3.545587,,2.610847,,2.80657,6.082529,,1.952514,,,,8.665193,2.262207,3.876339,4.199365,2.338225789,,2.757998333,4.353765088,,5.772078,,3.506808279,2.311159073,4.268406904,
2011/1/4,,3.586107,,2.683371,,2.853184,6.244388,,1.993767,,,,8.807243,2.284738,3.958131,4.273934,2.355491,,2.874509,4.365263,,5.935002,,3.555248,2.329916,4.305504,
2011/1/5,,3.572595,,2.663591,,2.855632,6.219101,,1.978051,,,,8.773388,2.271221,3.940349,4.307826,2.338585,,2.791039,4.381652,,5.874482,,3.567238,2.353099,4.305504,
2011/1/6,,3.538834,,2.650405,,2.855632,6.264621,,1.987872,,,,8.726082,2.266717,3.908347,4.294266,2.344221,,2.905811,4.381652,,5.911728,,3.543257,2.353099,4.269273,
2011/1/7,,3.626628,,2.762487,,2.956217,6.707218,,2.08805,,,,8.962812,2.289066036,4.075487,4.484071,2.344221,,2.905811,4.381652,,6.144471,,3.519275,2.353099,4.269273,
2011/1/10,,3.532075,,2.696557,,2.877712,6.477073,,2.025195,,,,8.807243,2.289247,4.015032,4.42984,2.327315,,2.97363,4.370726,,6.000167,,3.483304,2.277754,4.251156,
