"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2019/9/20",1261.613001,64616.96492,5527.030764,47229.89103,21874.81811,26802.33786,69821.25354,1784.551832,13336.08961,9805.132934,20665.10799,1628.602402,73055.43556,62739.69392,30217.13329,67902.27596,226070.0645,11306.81811,10299.03189,99327.22452,1216.198159,12396.03214,101103.7734,304249.0621,248679.3023,245172.7468,37072.87437
"2019/9/23",1261.636858,64617.26993,5527.052083,47230.25945,21874.92838,26802.38531,69821.21732,1784.564427,13336.01824,9805.2968,20665.20257,1628.612059,73055.98048,62739.3705,30217.12854,67902.90797,226071.7181,11306.9756,10299.08144,99327.44816,1216.17985,12396.19755,101103.9829,304251.169,248683.632,245173.3973,37073.43946
"2019/9/24",1261.660715,64617.57494,5527.073403,47230.62788,21875.03865,26802.43276,69821.1811,1784.577023,13335.94686,9805.460667,20665.29714,1628.621716,73056.5254,62739.04709,30217.12378,67903.53997,226073.3718,11307.13309,10299.131,99327.6718,1216.161542,12396.36296,101104.1924,304253.2758,248687.9617,245174.0477,37074.00455
"2019/9/25",1261.684572,64617.87995,5527.094722,47230.9963,21875.14892,26802.48021,69821.14488,1784.589618,13335.87549,9805.624534,20665.39171,1628.631373,73057.07032,62738.72367,30217.11902,67904.17198,226075.0254,11307.29058,10299.18055,99327.89544,1216.143233,12396.52837,101104.4019,304255.3826,248692.2913,245174.6982,37074.56964
"2019/9/26",1261.708429,64618.18496,5527.116042,47231.36473,21875.25919,26802.52766,69821.10866,1784.602214,13335.80412,9805.7884,20665.48628,1628.641029,73057.61524,62738.40025,30217.11427,67904.80398,226076.6791,11307.44806,10299.2301,99328.11908,1216.124925,12396.69377,101104.6114,304257.4895,248696.621,245175.3486,37075.13473
"2019/9/27",1261.732286,64618.48998,5527.137361,47231.73315,21875.36946,26802.5751,69821.07244,1784.614809,13335.73275,9805.952267,20665.58086,1628.650686,73058.16016,62738.07683,30217.10951,67905.43599,226078.3327,11307.60555,10299.27966,99328.34272,1216.106617,12396.85918,101104.821,304259.5963,248700.9507,245175.9991,37075.69982
"2019/9/30",1261.78,64619.1,5527.18,47232.47,21875.59,26802.67,69821,1784.64,13335.59,9806.28,20665.77,1628.67,73059.25,62737.43,30217.1,67906.7,226081.64,11307.76304,10299.32921,99328.79,1216.07,12397.19,101105.24,304263.81,248709.61,245177.3,37076.83
"2019/10/8",1259.611828,67424.33537,5601.860399,47331.48643,22357.08947,27354.65937,71411.45625,1846.622495,13431.61182,10228.65546,20651.00115,1619.384779,74141.53729,66705.26253,30208.14535,69999.60823,227652.641,11307.92053,10299.37876,99063.56326,1262.116917,13155.54461,102137.6204,301182.2348,248780.8485,254107.9421,39326.54665
"2019/10/9",1259.61078,67425.69121,5601.896494,47331.53429,22357.32219,27354.92616,71412.22495,1846.652453,13431.65823,10228.85961,20650.99401,1619.380291,74142.06039,66707.18028,30208.14102,70000.61978,227653.4003,11308.07802,10299.42831,99063.43507,1262.139173,13155.91115,102138.1194,301180.7454,248780.883,254112.2585,39327.63399
"2019/10/10",1259.609732,67427.04705,5601.932589,47331.58214,22357.55491,27355.19295,71412.99366,1846.682411,13431.70464,10229.06375,20650.98688,1619.375804,74142.58348,66709.09804,30208.1367,70001.63134,227654.1596,11308.23551,10299.47787,99063.30688,1262.161429,13156.27768,102138.6184,301179.256,248780.9174,254116.5749,39328.72134
"2019/10/11",1259.608684,67428.40289,5601.968684,47331.63,22357.78763,27355.45974,71413.76237,1846.712368,13431.75105,10229.26789,20650.97974,1619.371316,74143.10658,66711.01579,30208.13237,70002.64289,227654.9189,11308.393,10299.52742,99063.17868,1262.183684,13156.64421,102139.1174,301177.7666,248780.9518,254120.8913,39329.80868
"2019/10/14",1259.607636,67429.75874,5602.004779,47331.67786,22358.02035,27355.72653,71414.53108,1846.742326,13431.79746,10229.47204,20650.9726,1619.366828,74143.62968,66712.93354,30208.12804,70003.65445,227655.6783,11308.55049,10299.57697,99063.05049,1262.20594,13157.01074,102139.6163,301176.2772,248780.9863,254125.2077,39330.89603
"2019/10/15",1259.606588,67431.11458,5602.040874,47331.72571,22358.25307,27355.99332,71415.29978,1846.772284,13431.84387,10229.67618,20650.96546,1619.36234,74144.15277,66714.8513,30208.12371,70004.66601,227656.4376,11308.70798,10299.62653,99062.9223,1262.228195,13157.37727,102140.1153,301174.7878,248781.0207,254129.5241,39331.98337
